,id,comment,time,corrected_comment,nouns,time_minutes
0,식스맨TV축구해설,라인업 - 손흥민 케인 클루셉스키 페리시치 벤탄쿠르 호이비에르 로얄 데이비스 다이어 로메로 요리스 (단주마 히샬리송 포로 벤치),2023-02-06 01:12:29,라인업  손흥민 케인 클루셉스키 페리시치 벤탄쿠르 호이지에 르 로열 데이비스 다이어 로메로 요리스 단주마 히샬리송 포로 벤치,"['라인업', '손흥민', '케인', '클루', '스키', '페리', '치', '벤탄쿠르', '호', '이지', '르', '로열', '데이비스', '로메', '리스', '주마', '히샬리송', '포로', '벤치']",0.0
1,Hyun Kim,안녕하세요,2023-02-06 01:16:47,안녕하세요,[],4.3
2,식스맨TV축구해설,안녕하세요~~^^,2023-02-06 01:17:05,안녕하세요,[],4.6
3,사빌sable,안녕하세요,2023-02-06 01:18:16,안녕하세요,[],5.783
4,DDandME,식스맨님 항상 고맙습니다,2023-02-06 01:18:47,식스맨님 항상 고맙습니다,"['식스', '맨', '항상']",6.3
5,황박연,울 식스맨님~~~~~~~~~~~~~~~~~~^^*,2023-02-06 01:18:55,울 식스맨님,"['울', '식스', '맨']",6.433
6,황박연,짜~잔~~^^*,2023-02-06 01:19:05,짜잔,[],6.6
7,황박연,좋아요 꾸욱~~^^*,2023-02-06 01:19:13,좋아요 꾹,['꾹'],6.733
8,서유미,방가방가,2023-02-06 01:19:15,방가방가,"['방가', '방가']",6.767
9,황박연,울 서유미님~~~~~~~~~~~~~~~~~^^*,2023-02-06 01:19:25,울 서유미 님,"['울', '유미']",6.933
10,김마야📣,또 보내요 ㅎㅎ,2023-02-06 01:19:35,또 보내요 ,['또'],7.1
11,서유미,박연님 반갑습니다,2023-02-06 01:19:38,박연 님 반갑습니다,['박연'],7.15
12,봄봄,안녕하세요^^,2023-02-06 01:19:41,안녕하세요,[],7.2
13,황박연,우와~~모자를 벗는 울 잘생긴 식스맨님^^*,2023-02-06 01:19:42,우와 모자를 벗는 울 잘생긴 식스맨님,"['모자', '울', '식스', '맨']",7.217
14,박종호,요즘은 진지하게 우레이가 날두보다 나은 거 같음 걘 인성이라도 좋지,2023-02-06 01:19:44,요즘은 진지하게 우레이가 날두보다 나은 거 같음 걘 인성이라도 좋지,"['요즘', '우레이', '날', '두보', '나은', '거', '걘', '인성']",7.25
15,미남 샬랴,식하 4시간만 또 보는군요,2023-02-06 01:19:46,지하 4시간만 또 보는군요,"['지하', '또']",7.283
16,사빌sable,해트트릭 하면 100골!,2023-02-06 01:19:47,해트트릭 하면 100골,"['해트트릭', '골']",7.3
17,황인성미라클,안녕하세요,2023-02-06 01:19:48,안녕하세요,[],7.317
18,서유미,성원창님 방가방가 어서오세요,2023-02-06 01:19:49,성원 장님 방가방가 어서 오세요,"['성원', '장님', '방가', '방가', '어서']",7.333
19,황박연,울 김마야님~~~~~~~~~~~~~~~~~^^*,2023-02-06 01:19:50,울 김 나야 님,"['울', '김', '나야']",7.35
20,이동우,식스맨님 오늘도 반갑습니다..^^,2023-02-06 01:19:50,식스맨님 오늘도 반갑습니다,"['식스', '맨', '오늘']",7.35
21,Yoonmo Eunice Kim,캐나다에서 봅니다 가즈아 쏘니!!,2023-02-06 01:19:52,캐나다에서 봅니다 가즈아 쏘니,"['캐나다', '가즈']",7.383
22,얼굴없음,반갑습니다~~,2023-02-06 01:19:53,반갑습니다,[],7.4
23,유정숙,또뵈요~~~~~~^^,2023-02-06 01:19:57,또 봬요,"['또', '봬']",7.467
24,김마야📣,:sun_with_face:어서오세요~~,2023-02-06 01:19:57,sunwithface 어서 오세요,['어서'],7.467
25,*마크툽,오늘 부디....!,2023-02-06 01:19:59,오늘 부디,"['오늘', '부디']",7.5
26,서유미,동우님 어서오세요,2023-02-06 01:20:05,동우님 어서 오세요,"['동우', '어서']",7.6
27,황박연,네 울 서유미님 방가워요^^*,2023-02-06 01:20:05,네 울 서유미 님 반가워요,"['네', '울', '유미']",7.6
28,김마야📣,황박연님~:heart_suit:,2023-02-06 01:20:08,황박연님heartsuit,"['황', '박연']",7.65
29,오추매,손흥민 화이팅!!!,2023-02-06 01:20:12,손흥민 파이팅,"['손흥민', '파이팅']",7.717
30,봉남봉남,리하이요,2023-02-06 01:20:15,리하이요,['리하'],7.767
31,황박연,울 유정숙님~~~~~~~~~~~~~~~~~^^*,2023-02-06 01:20:20,울 윤정숙 님,"['울', '윤정숙']",7.85
32,김마야📣,:sun_with_face:어서오세요~~,2023-02-06 01:20:22,sunwithface 어서 오세요,['어서'],7.883
33,서유미,유정숙님 어서오세요,2023-02-06 01:20:27,윤정숙 님 어서 오세요,"['윤정숙', '어서']",7.967
34,김마야📣,:yt:구독 :thumbs_up:좋아요 클릭클릭:folded_hands:,2023-02-06 01:20:28,yt 구독 thumbsup 좋아요 클릭클릭 foldedhands,"['구독', '클릭', '클릭']",7.983
35,유정숙,박연님 오랜만이네요~~~~~^^,2023-02-06 01:20:30,박연 님 오랜만이네요,"['박연', '만이']",8.017
36,성은 최,식스맨tv 넘 좋아요 꾸욱!,2023-02-06 01:20:32,식스맨 tv 너무 좋아요 꾹,"['식스', '맨', '꾹']",8.05
37,황박연,울 김마야님은 새삼스럽게^^*,2023-02-06 01:20:34,울 김 나야 님은 새삼스럽게,"['울', '김', '나야', '님', '새삼']",8.083
38,김마야📣,:yt:구독 :thumbs_up:좋아요 클릭클릭:folded_hands:,2023-02-06 01:20:37,yt 구독 thumbsup 좋아요 클릭클릭 foldedhands,"['구독', '클릭', '클릭']",8.133
39,봄봄,오늘도 쏘니 화이팅하기를~,2023-02-06 01:20:40,오늘도 쏘니 파이팅 하기를,"['오늘', '파이팅']",8.183
40,Lee재니사랑,안녕하세요 반갑습니다,2023-02-06 01:20:46,안녕하세요 반갑습니다,[],8.283
41,김마야📣,:yt:구독 :thumbs_up:좋아요 클릭클릭:folded_hands:,2023-02-06 01:20:51,yt 구독 thumbsup 좋아요 클릭클릭 foldedhands,"['구독', '클릭', '클릭']",8.367
42,황인성미라클,손흥민 선수 화이팅,2023-02-06 01:20:53,손흥민 선수 파이팅,"['손흥민', '선수', '파이팅']",8.4
43,정직,"구독 좋아요 부탁드립니다 :folded_hands: 식스맨님에게 큰 :flexed_biceps: 힘이됩니다,,사랑 :heart_with_ribbon::heart_with_arrow:입니다",2023-02-06 01:20:53,구독 좋아요 부탁드립니다 foldedhands 식스맨님에게 큰 flexedbiceps 힘이 됩니다 사랑 heartwithribbonheartwitharrow입니다,"['구독', '식스', '맨', '힘', '사랑']",8.4
44,서유미,한빛님 어서오세요,2023-02-06 01:20:53,한빛님 어서 오세요,"['한빛', '어서']",8.4
45,kim 지민,황박연님 :blue_heart:마야님 :blue_heart:,2023-02-06 01:20:54,황박연님 blueheart 마야님 blueheart,"['황', '박연', '마야']",8.417
46,사자왕,안녕하세요 ~홧팅,2023-02-06 01:20:55,안녕하세요 파이팅,['파이팅'],8.433
47,별님Tv,안녕하세요,2023-02-06 01:20:56,안녕하세요,[],8.45
48,미남 샬랴,오늘 김민재 이강인 어제는 또 황민찬이 이겼으니깐 손흥민도 깔끔하게 승리갑니다,2023-02-06 01:20:59,오늘 김민재 이강인 어제는 또 황민 찬위 이겼으니깐 손흥민도 깔끔하게 승리 갑니다,"['오늘', '김민재', '이강인', '어제', '또', '황민', '찬위', '손흥민', '승리']",8.5
49,스페셜엘티(special LT),안녕하세요,2023-02-06 01:21:01,안녕하세요,[],8.533
50,황박연,울 유정숙님 오시는지 늘 살핀답니다^^*,2023-02-06 01:21:02,울 윤정숙 님 오시는지 늘 살핀답니다,"['울', '윤정숙', '늘']",8.55
51,김마야📣,지민~:heart_suit:,2023-02-06 01:21:07,지민 heartsuit,['지민'],8.633
52,황박연,울 김지민님~~~~~~~~~~~~~~~~~~~~^^*,2023-02-06 01:21:08,울 김지민 님,"['울', '김지민']",8.65
53,봉남봉남,후반에 포로로잡은애 나올려나 ㅋㅋ,2023-02-06 01:21:08,후반에 포로로 잡은 애 나오려나 ,"['후반', '포로', '애']",8.65
54,Sung Hong,"좀 일찍 중계를 시작 했으면 좋겠네…., 맨날 제일 늦어 !",2023-02-06 01:21:09,좀 일찍 중계를 시작했으면 좋겠네 맨날 제일 늦어 ,"['좀', '일찍', '중계', '시작', '제일']",8.667
55,서유미,사자왕님 어서오세요,2023-02-06 01:21:11,사자왕님 어서 오세요,"['사자왕', '어서']",8.7
56,Andrew Pak,안녕하세요. 오랫만에 왔습니다.,2023-02-06 01:21:11,안녕하세요 오랜만에 왔습니다,['만'],8.7
57,김마야📣,:yt:구독 :thumbs_up:좋아요 클릭클릭:folded_hands:,2023-02-06 01:21:16,yt 구독 thumbsup 좋아요 클릭클릭 foldedhands,"['구독', '클릭', '클릭']",8.783
58,*마크툽,승리희망합니다,2023-02-06 01:21:16,승리 희망합니다,"['승리', '희망']",8.783
59,황박연,울 김지민님 늘 사랑 하는거 아시나 몰라^^*,2023-02-06 01:21:21,울 김지민 님 늘 사랑하는 거 아시나 몰라,"['울', '김지민', '늘', '사랑', '거', '아시']",8.867
60,김마야📣,:yt:구독 :thumbs_up:좋아요 클릭클릭:folded_hands:,2023-02-06 01:21:28,yt 구독 thumbsup 좋아요 클릭클릭 foldedhands,"['구독', '클릭', '클릭']",8.983
61,eun jung,안녕하세요 안자고 기다렸어욤,2023-02-06 01:21:28,안녕하세요 안 자고 기다렸어요,"['안', '자고']",8.983
62,서유미,지민님 반갑습니다,2023-02-06 01:21:29,지민 님 반갑습니다,['지민'],9.0
63,제로타겟,ㅋㅋㅋㅋ 지민님,2023-02-06 01:21:29, 지민 님,['지민'],9.0
64,kim 지민,제로타겟님 :blue_heart:,2023-02-06 01:21:33,제로 타깃님 blueheart,"['제로', '타깃']",9.067
65,Lee재니사랑,좋아요 :thumbs_up:,2023-02-06 01:21:33,좋아요 thumbsup,[],9.067
66,은둥이네,안녕하세요. ,2023-02-06 01:21:34,안녕하세요 ,[],9.083
67,아우구스티노,입장이요.,2023-02-06 01:21:37,입장이요,['입장'],9.133
68,김마야📣,:yt:구독 :thumbs_up:좋아요 클릭클릭:folded_hands:,2023-02-06 01:21:40,yt 구독 thumbsup 좋아요 클릭클릭 foldedhands,"['구독', '클릭', '클릭']",9.183
69,스페셜엘티(special LT),희찬이 부상 괜찮을지 걱정이네요,2023-02-06 01:21:40,희찬이 부상 괜찮을지 걱정이네요,"['찬', '부상', '걱정', '요']",9.183
70,황박연,지민님 사진 바꿨다능^^*,2023-02-06 01:21:49,지민 님 사진 바꿨다는,"['지민', '사진']",9.333
71,김마야📣,:yt:구독 :thumbs_up:좋아요 클릭클릭:folded_hands:,2023-02-06 01:21:52,yt 구독 thumbsup 좋아요 클릭클릭 foldedhands,"['구독', '클릭', '클릭']",9.383
72,서유미,은정님 어서오세요,2023-02-06 01:21:52,은정님 어서 오세요,"['은정', '어서']",9.383
73,병철정,식스맨님 화이팅 하세요,2023-02-06 01:21:55,식스맨님 파이팅 하세요,"['식스', '맨', '파이팅']",9.433
74,hakmo,출첵 ~ 안녕하세요,2023-02-06 01:22:03,출첵  안녕하세요,['출첵'],9.567
75,kim 지민,이모티콘 잘못 보냈네요..죄송요..제로타겟님:blue_heart:,2023-02-06 01:22:04,이모티콘 잘못 보냈네요죄송요제로타겟님blueheart,"['이모티콘', '잘못', '죄송', '제로', '타겟']",9.583
76,색소폰과함께(제천),오랜만입니당~~~^^ ㅋㅋㅋㅋㅋ,2023-02-06 01:22:07,오랜만입니다 ,[],9.633
77,김마야📣,페리싫지 선발,2023-02-06 01:22:07,페리 싫지 선발,"['페리', '선발']",9.633
78,QQ,토트넘이 지면 브라이튼이랑 순위 변동은 안되나요??,2023-02-06 01:22:12,토트넘이 지면 브라이튼이랑 순위 변동은 안 되나요,"['토트넘', '지면', '브라이튼', '순위', '변동', '안']",9.717
79,황박연,좋아요 눌러 사람 불러야대~~~^^*,2023-02-06 01:22:13,좋아요 눌러 사람 불러야 돼,['사람'],9.733
80,고완희,네네 눈비비고 일어났어요 수고해 주세요~ 쏘니 오늘도 화이팅,2023-02-06 01:22:18,네네 눈 비비고 일어났어요 수고해 주세요 쏘니 오늘도 파이팅,"['네네', '눈', '비비고', '수고', '오늘', '파이팅']",9.817
81,오추매,ㅋㅋㅋㅋ페리카나 ㅋㅋ,2023-02-06 01:22:21,페리카나 ,"['페리', '카나']",9.867
82,시티헌터,안녕하세요 ^^,2023-02-06 01:22:22,안녕하세요 ,[],9.883
83,서유미,색소폰님 어서오세요,2023-02-06 01:22:23,색소폰님 어서 오세요,"['색소폰', '어서']",9.9
84,별님Tv,손흥민 100골 가자!!!!!!!,2023-02-06 01:22:34,손흥민 100골 가자,"['손흥민', '골']",10.083
85,황박연,징하다징해 페리시치놈은 죽어도 나오네 ㅎㅎㅎ,2023-02-06 01:22:38,징하다 징해 페리시치놈은 죽어도 나오네 ,"['징', '징', '페리', '치놈']",10.15
86,서유미,시티헌터님 어서오세요,2023-02-06 01:22:40,시티헌터님 어서 오세요,"['시티헌터', '어서']",10.183
87,kim 지민,황박연님:blue_heart: 넹..제주도 놀러갔을때예요 ㅋ,2023-02-06 01:22:42,황박연님blueheart 네 이 제주도 놀러 갔을 때예요 ,"['황', '박연', '네', '이', '제주도', '때']",10.217
88,김마야📣,색소폰님 어제 만나고 또 오늘 ㅋㅋ,2023-02-06 01:22:42,색소폰님 어제 만나고 또 오늘 ,"['색소폰', '어제', '또', '오늘']",10.217
89,병철정,오늘은 손흥민 골 골 골 반드시 승리합니다^^,2023-02-06 01:22:42,오늘은 손흥민 골 골 골 반드시 승리합니다,"['오늘', '손흥민', '골', '골', '골', '반드시', '승리']",10.217
90,버킷행자,식스맨님 조금 쉬셨다가 오셨나요?,2023-02-06 01:22:44,식스맨님 조금 쉬셨다가 오셨나요,"['식스', '맨', '조금']",10.25
91,형주 최,뙤 뵈어요 안녕하세요 ^^,2023-02-06 01:22:49,되 뵈어요 안녕하세요 ,[],10.333
92,리체,콘태업나요?,2023-02-06 01:22:56,콘 태어나요,['콘'],10.45
93,아우구스티노,저는 이제6시30분. 딱좋은시간 혼자 저녁 먹으며 들어요.,2023-02-06 01:22:58,저는 이제 6시 30분 딱 좋은 시간 혼자 저녁 먹으며 들어요,"['저', '이제', '시간', '혼자', '저녁']",10.483
94,색소폰과함께(제천),넹 마야님ㅎㅎㅎ,2023-02-06 01:23:00,네 마야님,"['네', '마야']",10.517
95,서유미,황야님 방가방가 어서오세요,2023-02-06 01:23:07,황야님 방가방가 어서 오세요,"['황야', '방가', '방가', '어서']",10.633
96,kim 지민,색소포니,2023-02-06 01:23:10,색소 포니,"['색소', '포니']",10.683
97,색소폰과함께(제천),유미님 수고많으십니다ㅎ,2023-02-06 01:23:12,유미님 수고 많으십니다,"['유미', '수고']",10.717
98,kim 지민,색소폰님:blue_heart:,2023-02-06 01:23:17,색소폰님 blueheart,['색소폰'],10.8
99,별님Tv,손흥민 100골 가자'!!!!!!!,2023-02-06 01:23:17,손흥민 100골 가자,"['손흥민', '골']",10.8
100,강민호,님들 이 유튜버분 경기 보여주시는거?,2023-02-06 01:23:21,님들 이 유튜버분 경기 보여주시는 거,"['님들', '이', '유튜버분', '경기', '거']",10.867
101,Grace Park,안녕하세요 오늘도 승리로 파이팅 :thumbs_up::thumbs_up::victory_hand::victory_hand::crossed_fingers::crossed_fingers::heart_on_fire::heart_on_fire:,2023-02-06 01:23:24,안녕하세요 오늘도 승리로 파이팅 thumbsupthumbsupvictoryhandvictoryhandcrossedfingerscrossedfingersheartonfireheartonfire,"['오늘', '승리', '파이팅']",10.917
102,황박연,역시 나폴리는 3골 이상 이긴다가 맞았군^^*,2023-02-06 01:23:31,역시 나폴리는 3골 이상 이긴다가 맞았군,"['역시', '나폴리', '골', '이상']",11.033
103,박순성,쏘니 오늘 2골 넣자.,2023-02-06 01:23:32,쏘니 오늘 2골 넣자,"['오늘', '골']",11.05
104,Dean Oh,식스맨님 최근에 안보이셨는데 바쁘셨나봐요. 이제 다시 돌아오셨네요~,2023-02-06 01:23:32,식스맨님 최근에 안 보이셨는데 바쁘셨나 봐요 이제 다시 돌아오셨네요,"['식스', '맨', '최근', '안', '이제', '다시']",11.05
105,*마크툽,쏘니 100골 홧팅!,2023-02-06 01:23:33,쏘니 100골 파이팅,"['골', '파이팅']",11.067
106,색소폰과함께(제천),지민님^^,2023-02-06 01:23:34,지민 님,['지민'],11.083
107,참나,안녕하세요 식스맨님. 오늘도 좋은 입중계 부탁드려요~~,2023-02-06 01:23:36,안녕하세요 식스맨님 오늘도 좋은 이중계 부탁드려요,"['식스', '맨', '오늘', '중계']",11.117
108,버킷행자,정말 여기 만큼 스패너 분들이 일관되게 유지 하는 모습은 보기 좋아요.,2023-02-06 01:23:36,정말 여기만큼 스패너 분들이 일관되게 유지하는 모습은 보기 좋아요,"['정말', '여기', '스패너', '분', '일관', '유지', '모습', '보기']",11.117
109,함께사랑,페리시치 깜빵으로...,2023-02-06 01:23:43,페리시치 감방으로,"['페리', '치', '감방']",11.233
110,제로타겟,뭐야...라인업이... 아이고,2023-02-06 01:23:48,뭐야 라인업이 아이고,"['뭐', '라인업']",11.317
111,영영,반가요,2023-02-06 01:23:50,반가요,['가요'],11.35
112,서유미,참나님 어서오세요,2023-02-06 01:23:50,참 나님 어서 오세요,"['나', '어서']",11.35
113,Mj💫,ㅎㅇ뚜,2023-02-06 01:23:51,뚜,['뚜'],11.367
114,오추매,라인업이 왜…. 왜,2023-02-06 01:23:52,라인업이 왜왜,"['라인업', '왜왜']",11.383
115,GARANG HWANG,또 왔습니다! 입중계 잘 부탁드립니다!,2023-02-06 01:23:54,또 왔습니다 이중계 잘 부탁드립니다,"['또', '중계']",11.417
116,색소폰과함께(제천),콘테 시즌아웃? ㅋㅋㅋㅋㅋㅋ,2023-02-06 01:24:00,콩테 시즌 아웃 ,"['콩테', '시즌', '아웃']",11.517
117,서유미,영영님 어서오세요,2023-02-06 01:24:03,영영 님 어서 오세요,"['영영', '어서']",11.567
118,별님Tv,안녕하세요!!!!!!,2023-02-06 01:24:04,안녕하세요,[],11.583
119,김마야📣,:yt:구독 :thumbs_up:좋아요 클릭클릭:folded_hands:,2023-02-06 01:24:04,yt 구독 thumbsup 좋아요 클릭클릭 foldedhands,"['구독', '클릭', '클릭']",11.583
120,띵띵,또 왔습니다,2023-02-06 01:24:05,또 왔습니다,['또'],11.6
