,id,comment,time,corrected_comment,nouns,time_minutes
0,h2 J,12시 하네...,2023-03-18 23:04:11,12시 하네,[],0.0
1,Ugyu Ahn,가즈아,2023-03-18 23:12:27,가즈아,['가즈'],8.267
2,샤프슈터,오늘 100호골 넣겠네,2023-03-18 23:30:10,오늘 100호 골 넣겠네,"['오늘', '호', '골']",25.983
3,송효주,안녕하세요,2023-03-18 23:32:34,안녕하세요,[],28.383
4,💫지란지교를 꿈꾸며ᆢ,선발 라인업 띠워라 오바,2023-03-18 23:33:02,선발 라인업 띠워라 오버,"['선발', '라인업', '띠워', '오버']",28.85
5,식스맨TV축구해설,라인업 - 케인 손흥민 히샬리송 데이비스 포로 호이비에르 스킵 랑글레 다이어 로메로 포스터,2023-03-18 23:33:06,라인업  케인 손흥민 히샬리송 데이비스 포로 호이지에 르 스킵 랑글레 다이어 로메로 포스터,"['라인업', '케인', '손흥민', '히샬리송', '데이비스', '포로', '호', '이지', '르', '스킵', '랑글레', '로메', '포스터']",28.917
6,💫지란지교를 꿈꾸며ᆢ,wow 페리카나 벤치 :dolphin::dolphin::dolphin:,2023-03-18 23:34:14,wow 페리카나 벤치 dolphindolphindolphin,"['페리', '카나', '벤치']",30.05
7,venus1218,페리시치 없으니 100골 예상이요,2023-03-18 23:38:58,페리시치 없으니 100골 예상이요,"['페리', '치', '골', '상이']",34.783
8,💫지란지교를 꿈꾸며ᆢ,음 102 골,2023-03-18 23:41:21,음 102 골,"['음', '골']",37.167
9,식스맨TV축구해설,욕심없이 한골만~~~~터져주기를^^,2023-03-18 23:41:45,욕심 없이 한 골만 터져주기를,"['욕심', '골', '주기']",37.567
10,식스맨TV축구해설,스트리밍은 4분뒤에 시작하겠습니다,2023-03-18 23:41:57,스트리밍은 4분 뒤에 시작하겠습니다,"['스트리밍', '뒤', '시작']",37.767
11,시네마멘,식하,2023-03-18 23:41:59,지하,['지하'],37.8
12,샤프슈터,한골도 잘한거죠 요즘 폼만 봐서는,2023-03-18 23:42:24,한 골도 잘한 거죠 요즘 폼만 봐서는,"['골도', '거', '요즘', '폼']",38.217
13,💫지란지교를 꿈꾸며ᆢ,102 골 ㅡㅡ 손까들 꺼져,2023-03-18 23:43:12,102 골  손까들 꺼져,"['골', '손']",39.017
14,💫지란지교를 꿈꾸며ᆢ,손 포트트릭 모르 시나요,2023-03-18 23:43:58,손 포트 트릭 모르 시나요,"['손', '포트', '트릭', '시나']",39.783
15,노래하는치킨너겟,오~~~~~~~~~~~~,2023-03-18 23:46:30,오,['오'],42.317
16,노래하는치킨너겟,시작이네요 ,2023-03-18 23:46:36,시작이네요 ,"['시작', '요']",42.417
17,사자왕,안녕하세요ㅡ 홧팅,2023-03-18 23:46:41,안녕하세요 파이팅,['파이팅'],42.5
18,인절밍,안녕하세요!!!ㅎㅎ,2023-03-18 23:46:44,안녕하세요,[],42.55
19,kim jin sung,안녕하세요,2023-03-18 23:46:44,안녕하세요,[],42.55
20,서유미,식하,2023-03-18 23:46:45,지하,['지하'],42.567
21,서유미,방가방가,2023-03-18 23:46:49,방가방가,"['방가', '방가']",42.633
22,일루왕,안녕하심까아아아아아,2023-03-18 23:46:51,안녕하심까아아아아아,[],42.667
23,인절밍,오늘은 제봘~!!!ㅎㅎㅋㅋㅋㅋ,2023-03-18 23:46:53,오늘은 제봘,"['오늘', '제봘']",42.7
24,kim jin sung,100호골 가즈아,2023-03-18 23:46:55,100호 골 가즈아,"['호', '골', '가즈']",42.733
25,Venus,안녕하세요 :heart_suit:,2023-03-18 23:46:55,안녕하세요 heartsuit,[],42.733
26,한동훈,안녕하세요,2023-03-18 23:46:57,안녕하세요,[],42.767
27,박종호,월드컵 4팀 12조로 확정되었습니다 어떤가요,2023-03-18 23:47:01,월드컵 4팀 12조로 확정되었습니다 어떤가요,"['월드컵', '팀', '확정', '가요']",42.833
28,서경원,안녕하세요,2023-03-18 23:47:06,안녕하세요,[],42.917
29,서유미,한동훈님 어서오세요,2023-03-18 23:47:07,한동훈 님 어서 오세요,"['한동훈', '어서']",42.933
30,임율,식스맨님 안녕하세요,2023-03-18 23:47:08,식스맨님 안녕하세요,"['식스', '맨']",42.95
31,일루왕,사랑님 오셨습니까~,2023-03-18 23:47:08,사랑님 오셨습니까,['사랑'],42.95
32,서유미,종호님 안녕하세요,2023-03-18 23:47:16,종호 님 안녕하세요,['종호'],43.083
33,정이영,안녕하세요 ~~손흥민 골 가쟈~~,2023-03-18 23:47:22,안녕하세요 손흥민 골 가자,"['손흥민', '골']",43.183
34,샤프슈터,사우스햄튼에 골 넣은적 많은 손이니 넣을꺼 같긴한데 ,2023-03-18 23:47:23,사우샘프턴에 골 넣은 적 많은 손이니 넣을 거 같긴 한데 ,"['사우샘프턴', '골', '적', '손', '거']",43.2
35,Venus,유미:heart_suit:,2023-03-18 23:47:28,유미 heartsuit,['유미'],43.283
36,Euisuk Jung,반갑습니다 식스맨스,2023-03-18 23:47:29,반갑습니다 식스 맨스,"['식스', '맨스']",43.3
37,일루왕,사랑님.. 감자공주님은 아직 안오신건가요,2023-03-18 23:47:29,사랑님 감자 공주님은 아직 안 오신 건가요,"['사랑', '감자', '공주', '안', '오신', '건가']",43.3
38,박종호,월드컵 4팀 12개 조로 확정괴었능데 어떤가요,2023-03-18 23:47:31,월드컵 4팀 12개 조로 확정 괴었는데 어떤가요,"['월드컵', '팀', '개', '조로', '확정', '괴었는데', '가요']",43.333
39,박순성,올 페리싫지 안나와서 좋네요.,2023-03-18 23:47:33,올 페리 싫지 안 나와서 좋네요,"['페리', '안']",43.367
40,Venus,일루왕님:heart_suit:,2023-03-18 23:47:34,일루 왕님 heartsuit,"['일루', '왕']",43.383
