,id,comment,time,corrected_comment,nouns,time_minutes
0,식스맨TV축구해설,라인업 - 케인 손흥민 클루셉스키 페리시치 호이비에르 스킵 포로 랑글레 다이어 로메로 요리스,2023-04-04 03:23:28,라인업  케인 손흥민 클루셉스키 페리시치 호이지에 르 스킵 포로 랑글레 다이어 로메로 요리스,"['라인업', '케인', '손흥민', '클루', '스키', '페리', '치', '호', '이지', '르', '스킵', '포로', '랑글레', '로메', '리스']",0.0
1,시네마멘,식하,2023-04-04 03:31:29,지하,['지하'],8.017
2,송효주,요리스 나오네요,2023-04-04 03:32:14,요리스 나오네요,['리스'],8.767
3,식스맨TV축구해설,요리스 부상복귀했습니다.,2023-04-04 03:32:33,요리스 부상 복귀했습니다,"['리스', '부상', '복귀']",9.083
4,황박연,울 식스맨님~~~~~~~~~~~~~~~~^^*,2023-04-04 03:36:27,울 식스맨님,"['울', '식스', '맨']",12.983
5,황박연,요리스가 토트놈 요리하러 나오나요?ㅎㅎ,2023-04-04 03:37:05,요리스가 토트 놈 요리하러 나오나요,"['리스', '토트', '놈', '요리']",13.617
6,황박연,이리 오너라~~~ 게 아무도 없느냐~~~^^*,2023-04-04 03:38:11,이리 오너라 게 아무도 없느냐,"['너', '게', '아무']",14.717
7,식스맨TV축구해설,45분이후에 스트리밍 진행하니다^^,2023-04-04 03:39:16,45분 이후에 스트리밍 진행 하니다,"['이후', '스트리밍', '진행', '하니']",15.8
8,황박연,^^*,2023-04-04 03:39:27,,[],15.983
9,송효주,ㅋ,2023-04-04 03:40:51,,[],17.383
10,황박연,효주님 방긋요~~^^*,2023-04-04 03:41:11,효주 님 방긋요,"['효주', '방긋']",17.717
11,송효주,방갑습니다,2023-04-04 03:41:20,반갑습니다,[],17.867
12,황박연,네^^*,2023-04-04 03:41:27,네,['네'],17.983
13,송효주,100골달성 기원합니다,2023-04-04 03:41:45,100골 달성 기원합니다,"['골', '달성', '기원']",18.283
14,황박연,저두용~~^^*,2023-04-04 03:41:53,저도 용,"['저', '용']",18.417
15,황박연,오늘 흥민이만 3골 넣길 바라옵니다^^*,2023-04-04 03:42:07,오늘 흥민이만 3골 넣길 바라옵니다,"['오늘', '흥민', '골']",18.65
16,송효주,제발,2023-04-04 03:42:14,제발,['제발'],18.767
17,황박연,아무도 못넣고 말이죠^^*,2023-04-04 03:42:24,아무도 못 넣고 말이죠,"['아무', '못', '말']",18.933
18,송효주,저두용:red_heart:,2023-04-04 03:42:30,저도 용 redheart,"['저', '용']",19.033
19,황박연,역시 울 패밀리는 이심전심^^*,2023-04-04 03:42:47,역시 울 패밀리는 이심전심,"['역시', '울', '패밀리', '이심전심']",19.317
20,송효주,쏘니는 사랑 입니다ㅎ,2023-04-04 03:43:08,쏘니는 사랑입니다,['사랑'],19.667
21,황박연,흥민이 시원스런 원더골이 너무 보고싶으당^^*,2023-04-04 03:43:17,흥민이 시원스러운 원더 골디 너무 보고 싶어 당,"['흥민', '원더', '골디', '보고', '당']",19.817
22,송효주,저두용,2023-04-04 03:43:29,저도 용,"['저', '용']",20.017
23,황박연,퍼팩트한 프리킥 골도 보고싶고^^*,2023-04-04 03:44:15,퍼펙트 한 프리킥 골도 보고 싶고,"['퍼펙트', '프리킥', '골도', '보고']",20.783
24,식스맨TV축구해설,니가가라 챔스 + 경질의 시기,2023-04-04 03:44:18,네가 가라 챔스  경질의 시기,"['네', '가라', '챔스', '경질', '시기']",20.833
25,송효주,ㅎ,2023-04-04 03:44:30,,[],21.033
26,식스맨TV축구해설,epl 혼돈의 4월입니다~~,2023-04-04 03:44:31,epl 혼돈의 4월입니다,['혼돈'],21.05
27,황박연,오늘 흥민이 골 못넣으면 토트놈에서 경질 시켜주세요~~^^*,2023-04-04 03:44:41,오늘 흥민이 골 못 넣으면 토트 놈에서 경질 시켜주세요,"['오늘', '흥민', '골', '못', '토트', '놈', '경질']",21.217
28,송효주,페리시치 안보고 싶은데ㅜ,2023-04-04 03:45:03,페리시치 안 보고 싶은데,"['페리', '치', '안', '보고']",21.583
29,황박연,페리시키가 있으니 너무 걱정이 됨,2023-04-04 03:45:10,페리 시기가 있으니 너무 걱정이 됨,"['페리', '시기', '걱정']",21.7
30,송효주,저두요ㅜ,2023-04-04 03:45:22,저도요,['도'],21.9
31,황박연,차라리 토트놈에서 경질 당하면 좋은 클럽 가서 골 폭발 할듯^^*,2023-04-04 03:45:39,차라리 토트 놈에서 경질 당하면 좋은 클럽 가서 골 폭발할 듯,"['차라리', '토트', '놈', '경질', '클럽', '골', '폭발', '듯']",22.183
32,서유미,방가방가요,2023-04-04 03:45:48,방가방가요,"['방가', '방가']",22.333
33,이병훈,안녕하세요,2023-04-04 03:45:50,안녕하세요,[],22.367
34,황박연,울 서유미님~~~~~~~~~~~~~~^^*,2023-04-04 03:45:56,울 서유미 님,"['울', '유미']",22.467
35,커서히딩크,잘생긴 식스맨님 반갑습니다,2023-04-04 03:45:57,잘생긴 식스맨님 반갑습니다,"['식스', '맨']",22.483
36,Op Op,:dog2: :two_hearts:,2023-04-04 03:46:02,dog2 twohearts,[],22.567
37,박찬덕,안녕 식스멘,2023-04-04 03:46:05,안녕 식스 멘,"['안녕', '식스']",22.617
38,GARANG HWANG,반갑습니다!100호골 응원합니당!,2023-04-04 03:46:13,반갑습니다 100호 골 응원합니다,"['호', '골', '응원']",22.75
39,이동우,오늘도 반갑습니다..ㅎ,2023-04-04 03:46:15,오늘도 반갑습니다,['오늘'],22.783
40,M yong,안녕하세요 뉴욕 입니다,2023-04-04 03:46:18,안녕하세요 뉴욕입니다,['뉴욕'],22.833
41,서성훈,안녕하세요,2023-04-04 03:46:23,안녕하세요,[],22.917
42,T.C.Y,안녕하세요...,2023-04-04 03:46:23,안녕하세요,[],22.917
