0,h2 J,12시 하네...,2023-03-18 23:04:11
1,Ugyu Ahn,가즈아,2023-03-18 23:12:27
2,샤프슈터,오늘 100호골 넣겠네,2023-03-18 23:30:10
3,송효주,안녕하세요,2023-03-18 23:32:34
4,💫지란지교를 꿈꾸며ᆢ,선발 라인업 띠워라 오바,2023-03-18 23:33:02
5,식스맨TV축구해설,라인업 - 케인 손흥민 히샬리송 데이비스 포로 호이비에르 스킵 랑글레 다이어 로메로 포스터,2023-03-18 23:33:06
6,💫지란지교를 꿈꾸며ᆢ,wow 페리카나 벤치 :dolphin::dolphin::dolphin:,2023-03-18 23:34:14
7,venus1218,페리시치 없으니 100골 예상이요,2023-03-18 23:38:58
8,💫지란지교를 꿈꾸며ᆢ,음 102 골,2023-03-18 23:41:21
9,식스맨TV축구해설,욕심없이 한골만~~~~터져주기를^^,2023-03-18 23:41:45
10,식스맨TV축구해설,스트리밍은 4분뒤에 시작하겠습니다,2023-03-18 23:41:57
11,시네마멘,식하,2023-03-18 23:41:59
12,샤프슈터,한골도 잘한거죠 요즘 폼만 봐서는,2023-03-18 23:42:24
13,💫지란지교를 꿈꾸며ᆢ,102 골 ㅡㅡ 손까들 꺼져,2023-03-18 23:43:12
14,💫지란지교를 꿈꾸며ᆢ,손 포트트릭 모르 시나요,2023-03-18 23:43:58
15,노래하는치킨너겟,오~~~~~~~~~~~~,2023-03-18 23:46:30
16,노래하는치킨너겟,시작이네요 ,2023-03-18 23:46:36
17,사자왕,안녕하세요ㅡ 홧팅,2023-03-18 23:46:41
18,인절밍,안녕하세요!!!ㅎㅎ,2023-03-18 23:46:44
19,kim jin sung,안녕하세요,2023-03-18 23:46:44
20,서유미,식하,2023-03-18 23:46:45
21,서유미,방가방가,2023-03-18 23:46:49
22,일루왕,안녕하심까아아아아아,2023-03-18 23:46:51
23,인절밍,오늘은 제봘~!!!ㅎㅎㅋㅋㅋㅋ,2023-03-18 23:46:53
24,kim jin sung,100호골 가즈아,2023-03-18 23:46:55
25,Venus,안녕하세요 :heart_suit:,2023-03-18 23:46:55
