0,식스맨TV축구해설,라인업 - 케인 손흥민 클루셉스키 페리시치 호이비에르 스킵 포로 랑글레 다이어 로메로 요리스,2023-04-04 03:23:28
1,시네마멘,식하,2023-04-04 03:31:29
2,송효주,요리스 나오네요,2023-04-04 03:32:14
3,식스맨TV축구해설,요리스 부상복귀했습니다.,2023-04-04 03:32:33
4,황박연,울 식스맨님~~~~~~~~~~~~~~~~^^*,2023-04-04 03:36:27
5,황박연,요리스가 토트놈 요리하러 나오나요?ㅎㅎ,2023-04-04 03:37:05
6,황박연,이리 오너라~~~ 게 아무도 없느냐~~~^^*,2023-04-04 03:38:11
7,식스맨TV축구해설,45분이후에 스트리밍 진행하니다^^,2023-04-04 03:39:16
8,황박연,^^*,2023-04-04 03:39:27
9,송효주,ㅋ,2023-04-04 03:40:51
10,황박연,효주님 방긋요~~^^*,2023-04-04 03:41:11
11,송효주,방갑습니다,2023-04-04 03:41:20
12,황박연,네^^*,2023-04-04 03:41:27
13,송효주,100골달성 기원합니다,2023-04-04 03:41:45
14,황박연,저두용~~^^*,2023-04-04 03:41:53
15,황박연,오늘 흥민이만 3골 넣길 바라옵니다^^*,2023-04-04 03:42:07
16,송효주,제발,2023-04-04 03:42:14
17,황박연,아무도 못넣고 말이죠^^*,2023-04-04 03:42:24
18,송효주,저두용:red_heart:,2023-04-04 03:42:30
19,황박연,역시 울 패밀리는 이심전심^^*,2023-04-04 03:42:47
20,송효주,쏘니는 사랑 입니다ㅎ,2023-04-04 03:43:08
21,황박연,흥민이 시원스런 원더골이 너무 보고싶으당^^*,2023-04-04 03:43:17
22,송효주,저두용,2023-04-04 03:43:29
23,황박연,퍼팩트한 프리킥 골도 보고싶고^^*,2023-04-04 03:44:15
24,식스맨TV축구해설,니가가라 챔스 + 경질의 시기,2023-04-04 03:44:18
25,송효주,ㅎ,2023-04-04 03:44:30
26,식스맨TV축구해설,epl 혼돈의 4월입니다~~,2023-04-04 03:44:31
27,황박연,오늘 흥민이 골 못넣으면 토트놈에서 경질 시켜주세요~~^^*,2023-04-04 03:44:41
28,송효주,페리시치 안보고 싶은데ㅜ,2023-04-04 03:45:03
29,황박연,페리시키가 있으니 너무 걱정이 됨,2023-04-04 03:45:10
30,송효주,저두요ㅜ,2023-04-04 03:45:22
31,황박연,차라리 토트놈에서 경질 당하면 좋은 클럽 가서 골 폭발 할듯^^*,2023-04-04 03:45:39
32,서유미,방가방가요,2023-04-04 03:45:48
33,이병훈,안녕하세요,2023-04-04 03:45:50
34,황박연,울 서유미님~~~~~~~~~~~~~~^^*,2023-04-04 03:45:56
35,커서히딩크,잘생긴 식스맨님 반갑습니다,2023-04-04 03:45:57
36,Op Op,:dog2: :two_hearts:,2023-04-04 03:46:02
37,박찬덕,안녕 식스멘,2023-04-04 03:46:05
38,GARANG HWANG,반갑습니다!100호골 응원합니당!,2023-04-04 03:46:13
39,이동우,오늘도 반갑습니다..ㅎ,2023-04-04 03:46:15
40,M yong,안녕하세요 뉴욕 입니다,2023-04-04 03:46:18
41,서성훈,안녕하세요,2023-04-04 03:46:23
42,T.C.Y,안녕하세요...,2023-04-04 03:46:23
43,우파기사,방송 감사합니다 육쌤 사탕해요 :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:,2023-04-04 03:46:33
44,서경원,안녕하세요,2023-04-04 03:46:37
45,황박연,좋아요 눌러 주세요~~~^^*,2023-04-04 03:46:37
46,황박연,사람 불러야대~~~^^*,2023-04-04 03:46:43
47,MINJOON KIM,잘려고했는데 알람와서~~~역시 좋아요!누르고 출발~~~,2023-04-04 03:46:50
48,박순성,페리시치 선발나오죠?,2023-04-04 03:46:50
49,Euisuk Jung,반갑습니다 식스맨스 실시간,2023-04-04 03:46:51
50,석류,오늘도 꿀~감사 합니다.,2023-04-04 03:46:53
51,김진기,중계하랴 출근하랴 정말 강철 체력이시네요. 감사합니다.,2023-04-04 03:47:02
52,softfeel3,안녕하세요,2023-04-04 03:47:07
53,우파기사,나폴리 경기 충격 먹엇어요,2023-04-04 03:47:26
54,제노,알람 감사,2023-04-04 03:47:31
55,일상이 일탈,이른 시간부터 식스맨 님 수고 많으십니다,2023-04-04 03:47:31
56,황박연,울 식스맨님 흥민골에 눈물 흘리는거 보고 싶으당~~^^*,2023-04-04 03:47:43
57,황박연,울 일상님~~~~~~~~~~~~~~^^*,2023-04-04 03:47:49
58,황박연,감자공주님은 아직~~~~^^*,2023-04-04 03:47:59
59,일상이 일탈,황박연 님 자요 좀 ㅋ,2023-04-04 03:48:01
60,석류,페리시치가 오늘은 제발 뒤로보내는 볼 안차기를 기원하기를 ㅠㅠ,2023-04-04 03:48:09
61,황박연,안대요~~~ㅎㅎ,2023-04-04 03:48:10
62,Jung Lee,손흥민 화이팅. 100호골 응원합니다 ,2023-04-04 03:48:11
63,제노,100골 기원 !!!!!,2023-04-04 03:48:18
64,색소폰과함께(제천),우와우!!!!!! 식ㅅ맨대장님 충성!!!!!!!!,2023-04-04 03:48:18
65,일상이 일탈,우리 며느리 아직 코~~~,2023-04-04 03:48:21
66,황박연,흥민이골 세골만 보고 잘래요^^*,2023-04-04 03:48:21
67,황박연,울 함께님~~~~~~~~~~~~~~~~^^*,2023-04-04 03:48:32
68,김미영,식스맨 오늘도 수고 하십니다,2023-04-04 03:48:40
69,한동훈,안녕하세요 오늘 중계 부탁드립니다,2023-04-04 03:48:48
70,Jung Lee,식스맨 님 항상 감사합니다 ,2023-04-04 03:48:50
71,색소폰과함께(제천),황박연님 개근상 받으시겠어유ㅎㅎ,2023-04-04 03:48:50
72,김마야📣,ㅋㅋ 안녕하세요~~,2023-04-04 03:48:51
73,황박연,헐~,2023-04-04 03:48:57
74,색소폰과함께(제천),마야님 어서와유ㅎㅎ,2023-04-04 03:48:59
75,일상이 일탈,서유미 님 고군분투 하시네요 ^^,2023-04-04 03:49:00
76,황박연,양반 대긴 틀려써~~~ㅎㅎ,2023-04-04 03:49:03
77,커서히딩크,페리시치를 골키퍼로 써도 쏘니영역 침범할까요?,2023-04-04 03:49:05
78,일상이 일탈,오 며늘 ㅋ,2023-04-04 03:49:08
79,황박연,울 김마야님~~~~~~~~~~~~~~^^*,2023-04-04 03:49:14
