,id,comment,time,corrected_comment,nouns,time_minutes
0,시네마멘,식하,2023-02-20 00:37:26,지하,['지하'],0.0
1,식스맨TV축구해설,라인업 - 케인 히샬리송 클루셉스키 데이비스 로얄 스킵 호이비에르 랑글레 다이어 로메로 포스터 (손흥민 벤치명단),2023-02-20 00:45:06,라인업  케인 히샬리송 클루셉스키 데이비스 로열 스킵 호이지에 르 랑글레 다이어 로메로 포스터 손흥민 벤치 명단,"['라인업', '케인', '히샬리송', '클루', '스키', '데이비스', '로열', '스킵', '호', '이지', '르', '랑글레', '로메', '포스터', '손흥민', '벤치', '명단']",7.667
2,식스맨TV축구해설,어서들 오세요^^,2023-02-20 00:59:44,어서들 오세요,['어서'],22.3
3,식스맨TV축구해설,1시30분 킥오프입니다. 스트리밍은 1시15분이후에 진행예정입니다,2023-02-20 01:00:02,1시 30분 킥오프입니다 스트리밍은 1시 15분 이후에 진행 예정입니다,"['킥', '오프', '스트리밍', '이후', '진행', '예정']",22.6
4,시네마멘,오늘경기 이기면 4위,2023-02-20 01:09:17,오늘 경기 이기면 4위,"['오늘', '경기', '이기', '위']",31.85
5,식스맨TV축구해설,~~~~~,2023-02-20 01:13:30,,[],36.067
6,식스맨TV축구해설,좋은 주말 보내셨나요~^^,2023-02-20 01:13:42,좋은 주말 보내셨나요,['주말'],36.267
7,서경원,반갑습니다,2023-02-20 01:15:38,반갑습니다,[],38.2
8,Sung Han,안녕하십니까! ,2023-02-20 01:15:40,안녕하십니까 ,['안녕하십니까'],38.233
9,GARANG HWANG,반갑습니다,2023-02-20 01:15:49,반갑습니다,[],38.383
10,일루왕,안녕하심미끄아아아아,2023-02-20 01:15:56,안녕하심미끄아아아아,['심'],38.5
11,김부근,안녕하세요,2023-02-20 01:15:57,안녕하세요,[],38.517
12,김대준,최고의 입담! 오늘도 감사히 잘 보겠습니다.,2023-02-20 01:15:59,최고의 입담 오늘도 감사히 잘 보겠습니다,"['최고', '입담', '오늘']",38.55
13,ji young,반가워요,2023-02-20 01:16:05,반가워요,[],38.65
14,김마야📣,안뇽~~~:heart_suit:,2023-02-20 01:16:07,안녕 heartsuit,['안녕'],38.683
15,어흥!!,안녕하세용!!!♡,2023-02-20 01:16:08,안녕하세요,[],38.7
16,올라라,반갑습니다,2023-02-20 01:16:10,반갑습니다,[],38.733
17,하전,안녕하세요,2023-02-20 01:16:12,안녕하세요,[],38.767
18,겨울아이,안녕하세요.....귀에 쏙쏙 들어오는 식스맨님 중계 기다리고 있습니다...,2023-02-20 01:16:16,안녕하세요 귀에 쏙쏙 들어오는 식스맨님 중계 기다리고 있습니다,"['귀', '쏙쏙', '식스', '맨', '중계']",38.833
19,Ark,기다리다 방금 들어왔습니다.,2023-02-20 01:16:18,기다리다 방금 들어왔습니다,['방금'],38.867
20,김마야📣,대장님~:heart_suit:,2023-02-20 01:16:20,대장님 heartsuit,['대장님'],38.9
21,Euisuk Jung,반갑습니다 식스맨스,2023-02-20 01:16:21,반갑습니다 식스 맨스,"['식스', '맨스']",38.917
22,Sang hwa kwon,안녕하세요.오늘도수고하세요.감사합니다.,2023-02-20 01:16:24,안녕하세요 오늘도 수고하세요 감사합니다,"['오늘', '수고']",38.967
23,김챠트,반갑습니다 ..... ,2023-02-20 01:16:25,반갑습니다  ,[],38.983
24,백화영,안녕하세요!!! 오늘도 중계 잘 부탁드립니다!!,2023-02-20 01:16:25,안녕하세요 오늘도 중계 잘 부탁드립니다,"['오늘', '중계']",38.983
25,박 새울,안녕하세요. 손흥민골 기대합니다,2023-02-20 01:16:26,안녕하세요 손흥민 골 기대합니다,"['손흥민', '골']",39.0
26,김마야📣,일루왕님~:heart_suit:,2023-02-20 01:16:29,일루 왕님 heartsuit,"['일루', '왕']",39.05
27,coctrine shin,식스팬,2023-02-20 01:16:31,식스팬,"['식스', '팬']",39.083
28,송시영,손흥민3골 넘음,2023-02-20 01:16:37,손흥민 3골 넘음,"['손흥민', '골']",39.183
29,오중교,수고하십니다! 감사합니다 ^^♡♡,2023-02-20 01:16:43,수고하십니다 감사합니다 ,['수고'],39.283
30,뭐어때,안녕하세요,2023-02-20 01:16:44,안녕하세요,[],39.3
31,Nam Kim,18번,2023-02-20 01:16:47,18번,['번'],39.35
32,서경원,쏘니 빼서 잠자야 되나,2023-02-20 01:16:57,쏘니 빼서 잠 자야 되나,['잠'],39.517
33,김마야📣,:yt:구독 :thumbs_up:좋아요 클릭클릭~~,2023-02-20 01:17:07,yt 구독 thumbsup 좋아요 클릭클릭,"['구독', '클릭', '클릭']",39.683
34,coctrine shin,아녕하세요,2023-02-20 01:17:08,안녕하세요,[],39.7
35,김마야📣,:yt:구독 :thumbs_up:좋아요 클릭클릭~~,2023-02-20 01:17:17,yt 구독 thumbsup 좋아요 클릭클릭,"['구독', '클릭', '클릭']",39.85
36,박종호,요즘은 왜 아라 못하나요 ,2023-02-20 01:17:19,요즘은 왜 아라 못하나요 ,"['요즘', '왜', '못', '하나요']",39.883
37,jay park,충성. 우리 흥민이 벤치 스타트인가요? 재미 없게...,2023-02-20 01:17:20,충성 우리 흥민이 벤치 스타트인가요 재미없게,"['충성', '우리', '흥민', '벤치', '스타트']",39.9
38,김마야📣,쏘니. 모우라. 포로. 단주마. 페리싫지 벤치,2023-02-20 01:17:35,쏘니 모우라 포로 단주마 페리 싫지 벤치,"['모우', '포로', '주마', '페리', '벤치']",40.15
39,파엘,안녕하세요 ~^^,2023-02-20 01:17:45,안녕하세요 ,[],40.317
40,백화영,오늘 손흥민 득점 꼭 하길 바래요ㅠㅠ!!,2023-02-20 01:17:52,오늘 손흥민 득점 꼭 하길 바라요,"['오늘', '손흥민', '득점', '꼭']",40.433
41,정연순,안녕하세요. 식스맨님!,2023-02-20 01:17:54,안녕하세요 식스맨님,"['식스', '맨']",40.467
42,김마야📣,:sun_with_face:어서오세요~~,2023-02-20 01:17:57,sunwithface 어서 오세요,['어서'],40.517
43,박 새울,안녕하세요 ㅎㅎ,2023-02-20 01:17:58,안녕하세요 ,[],40.533
44,김마야📣,:yt:구독 :thumbs_up:좋아요 클릭클릭~~,2023-02-20 01:18:08,yt 구독 thumbsup 좋아요 클릭클릭,"['구독', '클릭', '클릭']",40.7
45,Euisuk Jung,쏘니는 벤치에서,2023-02-20 01:18:09,쏘니는 벤치에서,['벤치'],40.717
46,서경원,애휴,2023-02-20 01:18:11,아휴,[],40.75
47,Venus,안녕하세요 :heart_suit:,2023-02-20 01:18:14,안녕하세요 heartsuit,[],40.8
48,Venus,마야:heart_suit::heart_suit::heart_suit:,2023-02-20 01:18:23,마야 heartsuitheartsuitheartsuit,['마야'],40.95
49,김마야📣,비너쮸~:heart_suit:,2023-02-20 01:18:23,비너쮸heartsuit,['비너쮸'],40.95
50,Ground,안녕하세요 ^^,2023-02-20 01:18:37,안녕하세요 ,[],41.183
51,정일권,안녕하세요 ^^,2023-02-20 01:18:38,안녕하세요 ,[],41.2
