,id,comment,time,corrected_comment,nouns,time_minutes
0,식스맨TV축구해설,라인업 - 조규성 손흥민 정우영 이재성 황인범 정우영 김진수 김영권 김태환 김승규,2023-03-24 19:47:26,라인업  조규성 손흥민 정우영 이재성 황인범 정우영 김진수 김영권 김태환 김승규,"['라인업', '규', '손흥민', '정우영', '이재성', '황인', '범', '정우영', '김진수', '김영권', '김태환', '김승규']",0.0
1,양공석,안녕하세요,2023-03-24 19:48:03,안녕하세요,[],0.617
2,임율,식스맨님 안녕하세요,2023-03-24 19:48:08,식스맨님 안녕하세요,"['식스', '맨']",0.7
3,서유미,방가방가요,2023-03-24 19:48:13,방가방가요,"['방가', '방가']",0.783
4,MAST,안녕하세요,2023-03-24 19:48:18,안녕하세요,[],0.867
5,이도령,안녕하세요~~~,2023-03-24 19:48:22,안녕하세요,[],0.933
6,뭐어때,출석,2023-03-24 19:48:24,출석,['출석'],0.967
7,박전회,안녕하세요,2023-03-24 19:48:26,안녕하세요,[],1.0
8,암쓰,안녕하세요,2023-03-24 19:48:37,안녕하세요,[],1.183
9,Venus,안녕하세요.,2023-03-24 19:48:40,안녕하세요,[],1.233
10,Y J,안녕하세요~:smiling_face:,2023-03-24 19:48:42,안녕하세요 smilingface,[],1.267
11,Venus,유미:heart_suit::heart_suit:,2023-03-24 19:48:46,유미 heartsuitheartsuit,['유미'],1.333
12,영영,방가요,2023-03-24 19:48:51,방가요,['방가'],1.417
13,박종호,카타르 월드컵 멤버 그대로 복붙한거 같음,2023-03-24 19:49:01,카타르 월드컵 멤버 그대로 복붙한거 같음,"['카타르', '월드컵', '멤버', '그대로', '복', '거']",1.583
14,귀동냥,안녕하세요~^^,2023-03-24 19:49:02,안녕하세요,[],1.6
15,한동훈,식스맨님 출석 했습니다 지근 후다닥 빨리 샤워 하고 올게요,2023-03-24 19:49:06,식스맨님 출석했습니다 지근 후다닥 빨리 샤워하고 올게요,"['식스', '맨', '출석', '지근', '후다닥', '샤워']",1.667
16,윤광섭,반가워요 오늘도 파이팅,2023-03-24 19:49:19,반가워요 오늘도 파이팅,"['오늘', '파이팅']",1.883
17,Venus,대장님 안녕하세요 :heart_suit:,2023-03-24 19:49:20,대장님 안녕하세요 heartsuit,['대장님'],1.9
18,구사칠,안녕하세요,2023-03-24 19:49:28,안녕하세요,[],2.033
