0,식스맨TV축구해설,라인업 - 황의조 손흥민 이강인 이재성 황인범 정우영 이기제 김영권 김민재 김태환 조현우,2023-03-28 19:19:11
1,한동훈,1등,2023-03-28 19:47:04
2,Young sil Lee,안녕하세요,2023-03-28 19:47:08
3,💫지란지교를 꿈꾸며ᆢ,:dolphin::dolphin::dolphin:,2023-03-28 19:47:13
4,MAST,대한민국,2023-03-28 19:47:14
5,귀동냥,안녕하세요~^^,2023-03-28 19:47:16
6,유정숙,안녕하세요,2023-03-28 19:47:21
7,박춘석,안녕하세요,2023-03-28 19:47:24
8,빌라프린스정과장,오늘도 8시15분쯤 하려나요ㅋㅋ,2023-03-28 19:47:28
9,아오~빡처,:grinning_squinting_face::grinning_squinting_face::grinning_squinting_face::grinning_squinting_face::grinning_squinting_face::grinning_squinting_face::grinning_squinting_face::grinning_squinting_face::grinning_squinting_face::grinning_squinting_face::grinning_squinting_face::right_facing_fist::collision::ghost:,2023-03-28 19:47:28
10,Euisuk Jung,반갑습니다 식스맨스,2023-03-28 19:47:29
11,김태영,한국제발 승리,2023-03-28 19:47:36
12,손주명,안녕하세요,2023-03-28 19:47:37
13,라이코스,한국 축구 최고의 선택 식스맨,2023-03-28 19:47:45
14,장현호,안녕하세요~~,2023-03-28 19:47:46
15,k백파,안녕하세요,2023-03-28 19:47:51
16,황박연,울 식스맨님~~~~~~~~~~~~~~~~~~^^*,2023-03-28 19:48:01
17,김진규,안녕하세요 식스맨님,2023-03-28 19:48:06
18,장현호,오늘 조현우 선발 기대되네요,2023-03-28 19:48:08
19,백승철,안녕하세요,2023-03-28 19:48:08
20,식스맨TV축구해설,게임 아이템이 필요할때! 클릭시 식스맨TV채널의 응원이 됩니다! https://afreehp.kr/bc/U5qXmaaZx5akag,2023-03-28 19:48:12
21,연연봉일억,"안녕하세요,,,,,일단 좋아요 꾸~욱",2023-03-28 19:48:14
22,k백파,백파입니다 반갑습니다,2023-03-28 19:48:18
23,천국의계단(男),"안녕하세요 이강인, 조현우 선발이네요",2023-03-28 19:48:26
24,천샤인,방가워요,2023-03-28 19:48:47
25,엠마,안녕하세요^^,2023-03-28 19:48:50
26,MAST,조현우 잘 막을수 있으려나..,2023-03-28 19:49:07
27,김진규,오늘 이강인 선수가 가장 기대되네요,2023-03-28 19:49:09
28,장현호,황의조도 오늘 선발인데 이번경기가 황의조의 마지막 선발이 걸린 경기 같네요,2023-03-28 19:49:11
29,황박연,흥민이 오늘은 몇골?^^*,2023-03-28 19:49:16
30,아오~빡처,:soccer_ball::soccer_ball::soccer_ball::soccer_ball::soccer_ball::soccer_ball::soccer_ball::soccer_ball::soccer_ball:,2023-03-28 19:49:25
31,미리내,안녕하세요 ᆢ,2023-03-28 19:49:26
32,천샤인,좋아요 누루고 접속합니다,2023-03-28 19:49:26
33,황박연,해트트릭 한다는 소문이 파다 하던데~~^^*,2023-03-28 19:49:33
34,박진경,"이강인 선발, 정말 좋네요^^",2023-03-28 19:49:55
35,미리내,한국팀 화이팅 ᆢᆢ,2023-03-28 19:49:59
36,아오~빡처,3-2,2023-03-28 19:50:00
37,박 새울,안녕하세요.,2023-03-28 19:50:07
38,신창섭,오늘도 수고하십니다,2023-03-28 19:50:13
39,제너럴리스트,오늘 축구 20시 여기서 시청하는건가요?,2023-03-28 19:50:13
40,식스맨TV축구해설,아키에이지워 오픈 이벤트 클릭시 식스맨TV채널의 응원이 됩니다! https://afreehp.kr/bc/U5qXmaaZx5akaw,2023-03-28 19:50:23
41,별처럼,축구계의 유일한 최고해설가인 식스맨님 화이팅~!^^,2023-03-28 19:50:26
42,황박연,흥민아 오늘 프리킥 두골 감차 한골 세골만 넣자^^*,2023-03-28 19:50:33
43,안진숙,중계방송보나요?,2023-03-28 19:50:39
44,별이지,안녕하세요~~,2023-03-28 19:50:40
45,Gil Hong,그렇지..이렇게 다양하게 뛰게해봐야지.,2023-03-28 19:50:43
46,유정숙,박연님~~~~~~^^,2023-03-28 19:50:52
47,박 새울,식스맨님 홧팅,2023-03-28 19:50:54
48,장인해,조현우전반,2023-03-28 19:51:00
49,황박연,울 유정숙님~~~~~~~~~~~~~~~~~^^*,2023-03-28 19:51:04
50,천샤인,시청은 Tv조선으로,2023-03-28 19:51:04
51,Sungwoo Kim,축구중계는 식스맨입니다. 당연하죠.,2023-03-28 19:51:11
52,장인해,대한민국2:0우루과이,2023-03-28 19:51:21
53,황박연,조선은 보면 안됨! ㅎㅎ,2023-03-28 19:51:22
54,식스맨TV축구해설,게임 아이템이 필요할때! 클릭시 식스맨TV채널의 응원이 됩니다! https://afreehp.kr/bc/U5qXmaaZx5akag,2023-03-28 19:51:24
55,전범기 👎반대,[좋/아/요] 눌러주세요~~[좋/아/요] 눌러주세요~~,2023-03-28 19:51:27
56,한동훈,저 학원 다녀와서 빨리 씻고 올게요,2023-03-28 19:51:34
57,봄봄,안녕하세요~ 중계 자~~~ 알 부탁합니다^^,2023-03-28 19:51:44
58,별처럼,"손흥민, 이강인 조합 넘 기대만땅이요~! 오늘 일내자~!ㅎ",2023-03-28 19:51:47
59,박종호,이길 수 있나요,2023-03-28 19:51:53
60,샤프슈터,김민재 듬직하네,2023-03-28 19:51:53
61,김진규,오늘도 손흥민 프리킥골 가즈아~,2023-03-28 19:52:02
62,황박연,강인이가 찔러주고 흥민이가 파괴하자!^^*,2023-03-28 19:52:05
63,샤프슈터,이강인 선발인가,2023-03-28 19:52:09
64,유정숙,민재표정좋은데요,2023-03-28 19:52:15
65,Andrew Kim,대한민국 선수들 화이팅! 무조건 이깁니다.:thumbs_up:,2023-03-28 19:52:19
66,kim 지민,안녕하세요:blue_heart:,2023-03-28 19:52:21
67,황박연,민재는 워낙 출중 하니까^^*,2023-03-28 19:52:29
68,아오~빡처,:cold_face::cold_face::cold_face::cold_face::cold_face::cold_face::cold_face:,2023-03-28 19:52:31
69,박 새울,좋아요 눌렀어요. 다같이 누릅시다,2023-03-28 19:52:32
70,미리내,강인 웃는 모습 귀여워요 ᆢ,2023-03-28 19:52:34
71,황박연,울 김지민님~~~~~~~~~~~~~~~~~^^*,2023-03-28 19:52:35
72,장인해,오늘손흥민2골,2023-03-28 19:52:35
73,박종호,오늘 이길 수 있을지 ,2023-03-28 19:52:38
74,창준 이,안녕하세요.,2023-03-28 19:52:46
75,kim 지민,일본은 선제골 ..미토마 3분에 헤딩골 ~~,2023-03-28 19:52:48
76,안녕하세여!,안녕하셈요,2023-03-28 19:53:01
77,보석,반갑습니다,2023-03-28 19:53:09
78,뭐어때,안녕하세요 오늘도 잘부탁 드립니다,2023-03-28 19:53:14
79,황빈,우와,2023-03-28 19:53:18
80,ai,어쩌라고요,2023-03-28 19:53:21
81,kim 지민,:collision:우루과이 선발;; 멜레( 골키퍼) 13번 로드리게스 2 부에노 3.고아데스 22 피게레스 6 우가르테 5 베시노 15 발베르데 20 토레스 18 고메스 11 조나단 로드리게스 ..4 2 1 3:collision:,2023-03-28 19:53:23
82,안녕하세여!,대한민국~,2023-03-28 19:53:26
83,샤프슈터,한국은 측면수비가 약함,2023-03-28 19:53:34
