,id,comment,time,corrected_comment,nouns,time_minutes
0,식스맨TV축구해설,라인업 - 오시멘 로사노 크바라츠헬리아 젤린스키 로보트카 앙귀사 후이 디로렌조 라흐마니 김민재 메레트,2023-01-30 03:59:59,라인업  오멘 로사노 크바라츠헬리아 젤린스키 로보트카 앙귀사 후이 디 로렌조 라흐마니 김민재 메리트,"['라인업', '오멘', '로사', '노', '바', '라츠', '헬리', '젤린', '스키', '로보트', '카', '귀사', '후', '디', '로렌', '라흐마', '김민재', '메리트']",0.0
1,황박연,울 식스맨님~~~~~~~~~~~~~~~~~~~~~^^*,2023-01-30 04:26:01,울 식스맨님,"['울', '식스', '맨']",26.033
2,황박연,뭬야~~ 아직 줌시능겨?^^*,2023-01-30 04:26:26,뭬야 아직 줌세능겨,"['뭬', '능겨']",26.45
3,황박연,울 식스맨님 나와라 오바~^^*,2023-01-30 04:26:41,울 식스맨님 나와라 오버,"['울', '식스', '맨', '나와라', '오버']",26.7
4,식스맨TV축구해설,자고 있다면 만들어놓질 않았죠^^;;,2023-01-30 04:27:09,자고 있다면 만들어놓질 않았죠,['자고'],27.167
5,황박연,누구야~~ 좋아요 눌르고 나갔넹^^*,2023-01-30 04:27:16,누구야 좋아요 누르고 나갔네,['누구'],27.283
6,황박연,ㅎㅎㅎㅎㅎㅎㅎㅎㅎ,2023-01-30 04:27:19,,[],27.333
7,식스맨TV축구해설,킥오프10분전 돌아옵니다~`,2023-01-30 04:27:23,킥오프 10분 전 돌아옵니다,"['킥', '오프', '전']",27.4
8,황박연,사람 불러야대~~~^^*,2023-01-30 04:27:29,사람 불러야 돼,['사람'],27.5
9,황박연,오늘도 울 민재 기대되는^^*,2023-01-30 04:28:02,오늘도 울 민재 기대되는,"['오늘', '울', '민재', '기대']",28.05
10,황박연,민재야 흥민이한테 자극받아서 햇트릭 하자!^^*,2023-01-30 04:28:21,민재야 흥민이한테 자극받아서 햇트릭 하자,"['민재', '흥민', '햇트릭', '하자']",28.367
11,황박연,스트리밍 켜고 광고라도 내보내요^^*,2023-01-30 04:29:43,스트리밍 켜고 광고라도 내보내요,"['스트리밍', '광고']",29.733
12,식스맨TV축구해설,아무도 안계시니 심심하시죠 ㅎㅎ,2023-01-30 04:30:29,아무도 안 계시니 심심하시죠 ,"['아무', '안']",30.5
13,식스맨TV축구해설,잠시만 기다려주세요~,2023-01-30 04:30:38,잠시만 기다려주세요,['잠시'],30.65
14,황박연,^^*,2023-01-30 04:30:38,,[],30.65
15,황박연,아뇨 ,2023-01-30 04:30:40,아뇨 ,['아뇨'],30.683
16,황박연,기대감 가득 합니다^^*,2023-01-30 04:30:47,기대감 가득합니다,['대감'],30.8
17,황박연,마당도 깨끗하고 좋은데요^^*,2023-01-30 04:31:00,마당도 깨끗하고 좋은데요,"['마당', '요']",31.017
18,황박연,사람들만 많이 오면 ^^*,2023-01-30 04:31:08,사람들만 많이 오면 ,['사람'],31.15
19,황박연,솔직히 나폴리는 한골로 이길까 여러골로 이길까만 고민되는거 같아요^^*,2023-01-30 04:32:05,솔직히 나폴리는 한 골로 이길까 여러 골로 이길까만 고민되는 거 같아요,"['나폴리', '골로', '여러', '골로', '고민', '거']",32.1
20,황박연,무리뉴가 놓친 민재^^* 오늘도 지면 무리뉴 꼬라지 낼거 같기도 하고^^*,2023-01-30 04:33:08,무리뉴가 놓친 민재 오늘도 지면 무리뉴 꼬락서니 낼 거 같기도 하고,"['무리뉴', '민재', '오늘', '지면', '무리뉴', '꼬락서니', '낼', '거']",33.15
21,식스맨TV축구해설,나폴리 선제골만 넣고 무리뉴가 라인만 올려준다면 재밌는 경기가 되겠죠~,2023-01-30 04:34:23,나폴리 선제골만 넣고 무리뉴가 라인만 올려준다면 재밌는 경기가 되겠죠,"['나폴리', '선제골', '무리뉴', '라인', '경기']",34.4
22,황박연,^^*,2023-01-30 04:34:31,,[],34.533
