,id,comment,time,corrected_comment,nouns,time_minutes
0,식스맨TV축구해설,라인업 - 손흥민 히샬리송 모우라 페리시치 사르 호이비에르 포로 데이비스 다이어 산체스 포스터,2023-03-02 04:21:36,라인업  손흥민 히샬리송 모우라 페리시치 사르 호이지에 르 포로 데이비스 다이어 산체스 포스터,"['라인업', '손흥민', '히샬리송', '모우', '페리', '치', '사르', '호', '이지', '르', '포로', '데이비스', '산체스', '포스터']",0.0
1,식스맨TV축구해설,4시55분 킥오프입니다,2023-03-02 04:32:40,4시 55분 킥오프입니다,"['킥', '오프']",11.067
2,식스맨TV축구해설,스트리밍은 4시45분에 진행합니다,2023-03-02 04:33:01,스트리밍은 4시 45분에 진행합니다,"['스트리밍', '진행']",11.417
3,다가진자,어우 벌써 대기중인분들 계시네 ㅋㅋ,2023-03-02 04:36:01,어우 벌써 대기 중인 분들 계시네 ,"['어우', '벌써', '대기', '중인', '계시']",14.417
4,황박연,울 식스맨님~~~~~~~~~~~~~~~~^^*,2023-03-02 04:36:25,울 식스맨님,"['울', '식스', '맨']",14.817
5,식스맨TV축구해설,저는 잠시뒤에 뵐께요^^,2023-03-02 04:36:30,저는 잠시 뒤에 뵐게요,"['저', '잠시', '뒤']",14.9
6,황박연,왜 문이 안열리나 했어요~~~^^*,2023-03-02 04:36:39,왜 문이 안 열리나 했어요,"['왜', '문', '안', '리나']",15.05
7,다가진자,가볍게 식사라도 하고 오시죠 ㅎㅎ,2023-03-02 04:36:39,가볍게 식사라도 하고 오시죠 ,"['식사', '오시']",15.05
8,황박연,사람 불러야대~~~ㅎㅎ,2023-03-02 04:36:47,사람 불러야 돼,['사람'],15.183
9,식스맨TV축구해설,방송시작1시간전은 셋팅으로 바쁘답니다^^;;,2023-03-02 04:37:14,방송 시작 1시간 전은 세팅으로 바쁘답니다,"['방송', '시작', '전', '세팅']",15.633
10,황박연,상석님 방글^^*,2023-03-02 04:37:16,상석님 방글,['상석'],15.667
11,황박연,방문도 안열리고 그래서 흥민이 안나올까봐 해설 안해주는줄^^*,2023-03-02 04:37:58,방문도 안 열리고 그래서 흥민이 안 나올까 봐 해설 안 해주는 줄,"['방문', '안', '흥민', '안', '해설', '안', '줄']",16.367
