,id,comment,time,corrected_comment,nouns,time_minutes
0,식스맨TV축구해설,라인업 - 황의조 손흥민 이강인 이재성 황인범 정우영 이기제 김영권 김민재 김태환 조현우,2023-03-28 19:19:11,라인업  황의조 손흥민 이강인 이재성 황인범 정우영 이기제 김영권 김민재 김태환 조현우,"['라인업', '황의조', '손흥민', '이강인', '이재성', '황인', '범', '정우영', '이기제', '김영권', '김민재', '김태환', '조현우']",0.0
1,한동훈,1등,2023-03-28 19:47:04,1등,[],27.883
2,Young sil Lee,안녕하세요,2023-03-28 19:47:08,안녕하세요,[],27.95
3,💫지란지교를 꿈꾸며ᆢ,:dolphin::dolphin::dolphin:,2023-03-28 19:47:13,dolphindolphindolphin,[],28.033
4,MAST,대한민국,2023-03-28 19:47:14,대한민국,['대한민국'],28.05
5,귀동냥,안녕하세요~^^,2023-03-28 19:47:16,안녕하세요,[],28.083
6,유정숙,안녕하세요,2023-03-28 19:47:21,안녕하세요,[],28.167
7,박춘석,안녕하세요,2023-03-28 19:47:24,안녕하세요,[],28.217
8,빌라프린스정과장,오늘도 8시15분쯤 하려나요ㅋㅋ,2023-03-28 19:47:28,오늘도 8시 15분쯤 하려나요,['오늘'],28.283
9,아오~빡처,:grinning_squinting_face::grinning_squinting_face::grinning_squinting_face::grinning_squinting_face::grinning_squinting_face::grinning_squinting_face::grinning_squinting_face::grinning_squinting_face::grinning_squinting_face::grinning_squinting_face::grinning_squinting_face::right_facing_fist::collision::ghost:,2023-03-28 19:47:28,grinningsquintingfacegrinningsquintingfacegrinningsquintingfacegrinningsquintingfacegrinningsquintingfacegrinningsquintingfacegrinningsquintingfacegrinningsquintingfacegrinningsquintingfacegrinningsquintingfacegrinningsquintingfacerightfacingfistcollisionghost,[],28.283
10,Euisuk Jung,반갑습니다 식스맨스,2023-03-28 19:47:29,반갑습니다 식스 맨스,"['식스', '맨스']",28.3
11,김태영,한국제발 승리,2023-03-28 19:47:36,한국 제발 승리,"['한국', '제발', '승리']",28.417
12,손주명,안녕하세요,2023-03-28 19:47:37,안녕하세요,[],28.433
13,라이코스,한국 축구 최고의 선택 식스맨,2023-03-28 19:47:45,한국 축구 최고의 선택 식스맨,"['한국', '축구', '최고', '선택', '식스', '맨']",28.567
14,장현호,안녕하세요~~,2023-03-28 19:47:46,안녕하세요,[],28.583
15,k백파,안녕하세요,2023-03-28 19:47:51,안녕하세요,[],28.667
16,황박연,울 식스맨님~~~~~~~~~~~~~~~~~~^^*,2023-03-28 19:48:01,울 식스맨님,"['울', '식스', '맨']",28.833
17,김진규,안녕하세요 식스맨님,2023-03-28 19:48:06,안녕하세요 식스맨님,"['식스', '맨']",28.917
18,장현호,오늘 조현우 선발 기대되네요,2023-03-28 19:48:08,오늘 조현우 선발 기대되네요,"['오늘', '조현우', '선발', '기대']",28.95
19,백승철,안녕하세요,2023-03-28 19:48:08,안녕하세요,[],28.95
20,식스맨TV축구해설,게임 아이템이 필요할때! 클릭시 식스맨TV채널의 응원이 됩니다! https://afreehp.kr/bc/U5qXmaaZx5akag,2023-03-28 19:48:12,게임 아이템이 필요할 때 클릭 시 식스맨 TV 채널의 응원이 됩니다 httpsafreehpkrbcU5qXmaaZx5akag,"['게임', '아이템', '때', '클릭', '시', '식스', '맨', '채널', '응원']",29.017
21,연연봉일억,"안녕하세요,,,,,일단 좋아요 꾸~욱",2023-03-28 19:48:14,안녕하세요 일단 좋아요 꾹,"['일단', '꾹']",29.05
22,k백파,백파입니다 반갑습니다,2023-03-28 19:48:18,백파입니다 반갑습니다,['백'],29.117
23,천국의계단(男),"안녕하세요 이강인, 조현우 선발이네요",2023-03-28 19:48:26,안녕하세요 이강인 조현우 선발이네요,"['이강인', '조현우', '선발', '요']",29.25
24,천샤인,방가워요,2023-03-28 19:48:47,반가워요,[],29.6
25,엠마,안녕하세요^^,2023-03-28 19:48:50,안녕하세요,[],29.65
26,MAST,조현우 잘 막을수 있으려나..,2023-03-28 19:49:07,조현우 잘 막을 수 있으려나,"['조현우', '막', '수']",29.933
27,김진규,오늘 이강인 선수가 가장 기대되네요,2023-03-28 19:49:09,오늘 이강인 선수가 가장 기대되네요,"['오늘', '이강인', '선수', '가장', '기대']",29.967
28,장현호,황의조도 오늘 선발인데 이번경기가 황의조의 마지막 선발이 걸린 경기 같네요,2023-03-28 19:49:11,황의조도 오늘 선발인데 이번 경기가 황의조의 마지막 선발이 걸린 경기 같네요,"['황의조', '오늘', '선발', '이번', '경기', '황의조', '마지막', '선발', '경기']",30.0
29,황박연,흥민이 오늘은 몇골?^^*,2023-03-28 19:49:16,흥민이 오늘은 몇 골,"['흥민', '오늘', '몇', '골']",30.083
